LogReg:ID,chromosome,MAPINFO,p-values,q-values,intercept,beta,statistic,UCSC_RefGene_Name,Relation_to_UCSC_CpG_Island
cg18854424,1,2615690,0.0563490130007,0.868632671845,-4.5849943161,5.93210792542,1.90832662582,,
cg27171194,1,3229579,0.0573990568519,0.868632671845,-9.46584892273,16.2577438354,1.90025961399,PRDM16,
cg25720825,1,2849682,0.0599016882479,0.868632671845,-1.70633816719,5.81691503525,1.88151657581,,N_Shore
cg05528623,1,2387670,0.0599599480629,0.868632671845,-11.2240409851,19.7309513092,1.88108801842,,Island
cg00329272,1,3191481,0.0601465217769,0.868632671845,2.83268976212,-11.7808151245,-1.87971794605,PRDM16,N_Shelf
cg04890237,1,2537585,0.0611788481474,0.868632671845,-20.1558322906,24.8671398163,1.87220060825,MMEL1,N_Shore
cg06970772,1,3272662,0.0652839839458,0.868632671845,5.2112622261,-8.53597545624,-1.84330844879,PRDM16,N_Shelf
cg17854471,1,1950036,0.0654591917992,0.868632671845,8.85581302643,-13.2205200195,-1.84210908413,GABRD,N_Shore
cg06060874,1,3269315,0.0711140334606,0.868632671845,8.30246257782,-12.5244970322,-1.80474853516,PRDM16,
cg00341415,1,1630742,0.0729010775685,0.868632671845,14.9943275452,-18.9595317841,-1.79344952106,CDK11B;MMP23A,N_Shore
cg01947769,1,2362403,0.0737516731024,0.868632671845,4.32791852951,-9.61509609222,-1.78815090656,,S_Shelf
cg04107003,1,1397297,0.0777870044112,0.868632671845,-4.37247896194,5.89569282532,1.76367330551,ATAD3C,S_Shore
cg16527939,1,1253970,0.0792303308845,0.868632671845,-4.02246856689,12.970908165,1.75516939163,CPSF3L,N_Shore
cg17861161,1,3184434,0.0793790891767,0.868632671845,-4.76671075821,10.2098693848,1.75430011749,PRDM16,N_Shore
cg14531564,1,1154853,0.0804815292358,0.868632671845,2.17395138741,-7.94335126877,-1.74789893627,SDF4,S_Shore
cg12929805,1,2399054,0.0805229991674,0.868632671845,1.58181929588,-7.04861831665,-1.74765956402,,Island
cg04988794,1,3130485,0.080720089376,0.868632671845,-9.91446590424,16.0270137787,1.74652314186,PRDM16,
cg26891951,1,3129579,0.0809970647097,0.868632671845,-2.57450866699,3.5257370472,1.74492990971,PRDM16,
cg04903146,1,1337542,0.0818413347006,0.868632671845,-7.26345443726,11.8757324219,1.74010074139,MRPL20,S_Shore
cg09516210,1,2825189,0.0820280611515,0.868632671845,-4.74459695816,7.68061065674,1.73903810978,,N_Shelf
cg17282836,1,1397524,0.0848121196032,0.868632671845,11.1543283463,-14.1780757904,-1.72342264652,ATAD3C,S_Shore
cg26651722,1,1389888,0.0854615420103,0.868632671845,-3.74131321907,6.01628255844,1.71983993053,ATAD3C,Island
cg20251225,1,1609551,0.0865586996078,0.868632671845,7.4338054657,-12.2243185043,-1.71383678913,LOC728661;CDK11B,S_Shore
cg23626733,1,2345398,0.0872542187572,0.868632671845,-2.24557375908,11.2321004868,1.71006298065,PEX10,N_Shore
cg06792538,1,2954250,0.0876379087567,0.868632671845,9.37521648407,-13.3493680954,-1.70799160004,,
cg13850380,1,1475143,0.0885321721435,0.868632671845,18.5866069794,-24.0356655121,-1.70319187641,C1orf70,Island
cg26740494,1,1567131,0.0912597924471,0.868632671845,9.25845432281,-12.429353714,-1.68878936768,MMP23B;MMP23A,Island
cg26801936,1,1916344,0.0916787609458,0.868632671845,1.74933385849,-3.2360959053,-1.68660795689,KIAA1751,S_Shelf
cg22447799,1,1855324,0.0926543697715,0.868632671845,-11.040804863,13.1259832382,1.68155908585,,N_Shelf
cg14830045,1,1173264,0.0928414463997,0.868632671845,4.1297955513,-9.63290500641,-1.68059587479,,N_Shore
cg06991974,1,2984218,0.093891479075,0.868632671845,-1.63778316975,3.37070131302,1.67521798611,FLJ42875,Island
cg03538326,1,1375845,0.0940403938293,0.868632671845,3.44767332077,-5.29780387878,-1.67445921898,VWA1,S_Shore
cg15519786,1,3266440,0.0953968465328,0.868632671845,-9.32883548737,12.4419755936,1.6675914526,PRDM16,
cg18319381,1,1138931,0.0971863865852,0.868632671845,5.27407932281,-8.46645641327,-1.65864980221,TNFRSF18,S_Shore
cg26783079,1,2434058,0.0982112213969,0.868632671845,-13.7528400421,17.9151382446,1.65358817577,PLCH2,Island
cg02050917,1,2173571,0.0989589765668,0.868632671845,6.53610754013,-9.74541759491,-1.64992153645,SKI,
cg09024606,1,2324221,0.0996008515358,0.868632671845,2.32118010521,-6.00456857681,-1.64679181576,RER1;MORN1,S_Shore
cg24578937,1,2090814,0.100992135704,0.868632671845,-3.87607073784,8.57010936737,1.64006268978,PRKCZ,
cg16117513,1,2139657,0.101634278893,0.868632671845,4.121114254,-6.54424381256,-1.63698172569,C1orf86,S_Shelf
cg14522944,1,1961743,0.102898046374,0.868632671845,2.28160095215,-5.32367134094,-1.6309633255,GABRD,Island
cg14966901,1,3100143,0.103297144175,0.868632671845,-11.2114458084,13.9772634506,1.62907493114,PRDM16,N_Shelf
cg12760887,1,1104462,0.103330783546,0.868632671845,-2.01745176315,3.4208688736,1.62891602516,MIR429,S_Shelf
cg13393782,1,3099804,0.104667566717,0.868632671845,-13.4058675766,17.8982505798,1.62263453007,PRDM16,N_Shelf
cg16926445,1,3064439,0.104965545237,0.868632671845,-2.99723267555,11.813369751,1.62124300003,PRDM16,
cg22729726,1,3123854,0.107525967062,0.868632671845,7.5642824173,-11.4461774826,-1.6094135046,PRDM16,
cg07380540,1,1825861,0.107542075217,0.868632671845,-3.90675926208,9.74920940399,1.60933971405,,S_Shelf
cg06437747,1,2890836,0.107910938561,0.868632671845,-5.91551971436,7.6294631958,1.60765421391,,S_Shelf
cg22860172,1,3099917,0.107991024852,0.868632671845,-5.11396884918,7.04578495026,1.60728883743,PRDM16,N_Shelf
cg16043700,1,1114523,0.10915543884,0.868632671845,-3.78201436996,5.62538194656,1.60200071335,TTLL10,N_Shore
cg00546307,1,1946355,0.109765537083,0.868632671845,2.36595344543,-5.51297426224,-1.59924793243,,
cg24706992,1,1833078,0.111135870218,0.868632671845,-2.01051235199,6.35085678101,1.5931084156,,
cg23231093,1,1625702,0.111423633993,0.868632671845,5.78446388245,-10.135351181,-1.59182679653,LOC728661;CDK11B,S_Shore
cg06801943,1,2101479,0.114796184003,0.868632671845,-1.13166809082,1.85192155838,1.57699716091,PRKCZ,
cg07229301,1,1487445,0.114938274026,0.868632671845,1.66495990753,-2.95319724083,-1.57637989521,SSU72,N_Shelf
cg15627072,1,2432621,0.115380458534,0.868632671845,-1.90742003918,7.52422475815,1.57446289062,PLCH2,N_Shore
cg00698169,1,2784666,0.116487659514,0.868632671845,1.22537720203,-5.35248851776,-1.56968820095,,
cg08884932,1,1196725,0.117122240365,0.868632671845,2.87040996552,-4.28436183929,-1.56696772575,LOC100128842;UBE2J2,
cg11809162,1,2241792,0.11760725081,0.868632671845,1.36262023449,-4.37233972549,-1.56489622593,,N_Shelf
cg10962754,1,1117625,0.117831267416,0.868632671845,-7.16150188446,9.67327976227,1.56394171715,TTLL10,S_Shore
cg14087574,1,1963794,0.118142224848,0.868632671845,7.09370851517,-9.15229129791,-1.56261909008,,S_Shore
cg21848084,1,3264381,0.118593968451,0.868632671845,-11.7731275558,14.4994401932,1.56070244312,PRDM16,
cg22792177,1,1912606,0.118941485882,0.868632671845,2.16819119453,-4.20888090134,-1.55923199654,KIAA1751,Island
cg24955743,1,2454705,0.121262654662,0.868632671845,-5.2812256813,6.40390205383,1.5494954586,PANK4,S_Shore
cg02280859,1,1711185,0.123386904597,0.868632671845,6.19279956818,-8.44266986847,-1.54071199894,NADK,S_Shore
cg07146103,1,1170069,0.128020599484,0.868632671845,-4.00720357895,5.23665761948,1.5219540596,B3GALT6,S_Shore
cg22432982,1,2886676,0.129773139954,0.868632671845,-9.93649768829,12.3968057632,1.51499712467,,Island
cg01787285,1,2162682,0.130098432302,0.868632671845,4.79157114029,-6.81501245499,-1.51371383667,SKI,S_Shore
cg04843461,1,1974661,0.133338555694,0.868632671845,-0.767398476601,1.89464831352,1.50106573105,,N_Shore
cg23629166,1,2345368,0.136419594288,0.868632671845,4.04884624481,-11.4084920883,-1.48925745487,PEX10,N_Shore
cg12639453,1,2035780,0.138293519616,0.868632671845,-9.54887485504,12.7373514175,1.48217582703,PRKCZ,N_Shelf
cg23166857,1,1149501,0.138509765267,0.868632671845,-1.87200188637,3.57345867157,1.48136341572,TNFRSF4,Island
cg04910752,1,1267117,0.138701483607,0.868632671845,5.24713277817,-8.62384128571,-1.48064386845,TAS1R3,Island
cg16372810,1,2992640,0.140648677945,0.868632671845,5.33935403824,-7.54809331894,-1.47337973118,PRDM16,S_Shore
cg02393107,1,2515692,0.14073356986,0.868632671845,4.44155502319,-19.4959640503,-1.47306478024,,N_Shore
cg23260554,1,2934497,0.141001626849,0.868632671845,-7.11036968231,10.2825565338,1.47207129002,,
cg14279825,1,1513877,0.141107276082,0.868632671845,3.70931458473,-6.70955944061,-1.47168016434,,S_Shelf
cg17023856,1,2036508,0.142393454909,0.868632671845,-2.80133461952,8.08869743347,1.46693599224,PRKCZ,N_Shelf
cg23911852,1,2409853,0.142695814371,0.868632671845,1.55292594433,-3.25505042076,-1.46582555771,PLCH2,Island
cg24902038,1,2428882,0.143814221025,0.868632671845,-3.47709345818,11.4970550537,1.46173357964,PLCH2,
cg21420674,1,2713926,0.146001935005,0.868632671845,-1.49428296089,3.15353655815,1.45379936695,,N_Shelf
cg24968931,1,3059051,0.146205604076,0.868632671845,-0.817795693874,1.31483709812,1.45306539536,PRDM16,Island
cg15831346,1,2876723,0.14652235806,0.868632671845,-6.73143625259,8.41246604919,1.45192539692,,Island
cg05031204,1,2375690,0.148182138801,0.868632671845,14.0395545959,-16.6026763916,-1.44598245621,,Island
cg02068237,1,1473319,0.149223983288,0.868632671845,-9.89556312561,14.5431594849,1.44227790833,C1orf70,Island
cg23867494,1,1150322,0.150560751557,0.868632671845,-5.08141565323,9.69053173065,1.43755364418,TNFRSF4,S_Shore
cg13061570,1,2127505,0.151960223913,0.868632671845,1.18918669224,-1.79198467731,-1.43264186382,C1orf86,S_Shore
cg08122070,1,1689610,0.152943283319,0.868632671845,7.32151794434,-10.1545820236,-1.42921209335,NADK,N_Shelf
cg20675251,1,1464803,0.153549224138,0.868632671845,-7.66649246216,13.7127113342,1.42710638046,ATAD3A,Island
cg16418734,1,1720537,0.154799312353,0.868632671845,7.48953819275,-14.6038541794,-1.42278218269,GNB1,
cg06937595,1,1868501,0.157837405801,0.868632671845,-2.89767217636,10.6923885345,1.41238236427,,
cg18270426,1,1914597,0.158650994301,0.868632671845,2.72457337379,-11.0992202759,-1.40962314606,KIAA1751,S_Shore
cg00558749,1,1713950,0.159675598145,0.868632671845,-6.68952131271,9.51498985291,1.40616345406,,Island
cg26425711,1,3251680,0.159885168076,0.868632671845,5.61013555527,-8.2736415863,-1.40545785427,PRDM16,
cg22691336,1,1292638,0.161758944392,0.868632671845,16.3582668304,-19.8940525055,-1.39918029308,MXRA8,S_Shore
cg06348826,1,2994051,0.162495210767,0.868632671845,7.06602954865,-10.4399757385,-1.39672851562,PRDM16,N_Shelf
cg26930596,1,2082315,0.163474932313,0.868632671845,-7.4181804657,9.81435203552,1.39347922802,PRKCZ,Island
cg27264462,1,2106365,0.165644645691,0.868632671845,-5.83653354645,7.43056726456,1.3863350153,PRKCZ,
cg18040125,1,1420227,0.165973171592,0.868632671845,-15.5912313461,18.4673728943,1.38525938988,ATAD3B,Island
cg12753787,1,3239712,0.167325332761,0.868632671845,-4.44140481949,5.93642950058,1.38084924221,PRDM16,N_Shore
cg12718519,1,2058417,0.167986139655,0.868632671845,-6.33787584305,8.13498973846,1.37870371342,PRKCZ,
cg23928726,1,2344998,0.168425306678,0.868632671845,4.07440471649,-9.24598121643,-1.37728130817,PEX10,N_Shore
cg22225577,1,1221823,0.168860271573,0.868632671845,7.32573986053,-9.6983423233,-1.3758752346,SCNN1D,
cg23430652,1,1565027,0.168882668018,0.868632671845,2.26751279831,-11.1453132629,-1.37580287457,MIB2,Island
cg08037114,1,1266700,0.169201686978,0.868632671845,-1.93789029121,2.76059937477,1.37477350235,TAS1R3,N_Shore
cg06952577,1,2244585,0.169921949506,0.868632671845,-2.96611428261,5.04052639008,1.37245464325,,N_Shore
cg00391668,1,1404073,0.1709061414,0.868632671845,-0.670877873898,1.92439675331,1.36929798126,ATAD3C,N_Shelf
cg03042633,1,2183365,0.171854197979,0.868632671845,-5.09820222855,16.5856189728,1.36627006531,SKI,
cg10433463,1,1889099,0.17287966609,0.868632671845,-9.07090473175,11.1683530807,1.36300897598,KIAA1751,S_Shelf
cg23288755,1,1957320,0.173473492265,0.868632671845,-3.90070343018,14.0301551819,1.36112713814,GABRD,Island
cg06888836,1,2074268,0.17379000783,0.868632671845,6.67557048798,-8.5933637619,-1.36012613773,PRKCZ,
cg01949002,1,2203589,0.174830749631,0.868632671845,5.16394805908,-6.64884281158,-1.35684406757,SKI,
cg19802390,1,2840177,0.176894202828,0.868632671845,-0.987079679966,1.52990543842,1.35037970543,,
cg00567930,1,2250796,0.177760347724,0.868632671845,-1.99263143539,2.79876303673,1.34768307209,,S_Shore
cg09769218,1,1961075,0.178868755698,0.868632671845,-4.26696968079,5.30631923676,1.34424626827,GABRD,Island
cg26226110,1,1395945,0.179427787662,0.868632671845,-3.28039884567,4.18289136887,1.34251892567,ATAD3C,N_Shore
cg16926213,1,1841314,0.180038914084,0.868632671845,1.54957425594,-4.19534063339,-1.34063518047,,S_Shore
cg15211996,1,2936768,0.180282324553,0.868632671845,1.91466975212,-9.70654582977,-1.33988618851,ACTRT2,N_Shore
cg20136951,1,2345400,0.180908709764,0.868632671845,-10.081952095,14.2339773178,1.33796238899,PEX10,N_Shore
cg04873098,1,3165191,0.181385010481,0.868632671845,11.888835907,-16.5408172607,-1.33650267124,PRDM16,S_Shore
cg15818632,1,3017794,0.181909561157,0.868632671845,-3.74665212631,9.08812904358,1.33489859104,PRDM16,
cg00032879,1,2304264,0.182102695107,0.868632671845,-4.63528251648,11.5731754303,1.33430874348,MORN1,Island
cg06513673,1,2357638,0.182457998395,0.868632671845,4.63956832886,-7.45823192596,-1.33322489262,,N_Shelf
cg19904265,1,3166712,0.182478219271,0.868632671845,-2.79988288879,3.79449772835,1.33316326141,PRDM16,S_Shelf
cg05874270,1,2559893,0.183156400919,0.868632671845,-4.25563573837,7.42123222351,1.33109915257,MMEL1,Island
cg05772532,1,2425011,0.185913935304,0.868632671845,6.58455371857,-8.39130878448,-1.32276380062,PLCH2,
cg15496335,1,2377971,0.187008827925,0.868632671845,-1.30689644814,1.73209404945,1.31947958469,,S_Shelf
cg26831087,1,1259070,0.187269717455,0.868632671845,-3.30115175247,7.42041540146,1.31869912148,CPSF3L;GLTPD1,N_Shore
cg06204101,1,2039671,0.187430262566,0.868632671845,6.82997083664,-9.18580150604,-1.31821918488,PRKCZ,N_Shore
cg11414742,1,1288586,0.187789216638,0.868632671845,-2.16384124756,6.52316093445,1.31714737415,MXRA8,N_Shore
cg03043696,1,1820656,0.188441097736,0.868632671845,1.40511608124,-7.76844787598,-1.31520473957,GNB1,N_Shore
cg16348158,1,3036916,0.189491510391,0.868632671845,-5.45399093628,7.31007289886,1.31208479404,PRDM16,N_Shore
cg15549502,1,2268473,0.191316351295,0.868632671845,-2.3582136631,3.87814736366,1.30669486523,MORN1,S_Shelf
cg13321900,1,1455303,0.19374166429,0.868632671845,-4.03800916672,5.6434378624,1.29958963394,ATAD3A,Island
cg11837181,1,3001002,0.194061815739,0.868632671845,-5.56362581253,7.30404186249,1.29865658283,PRDM16,S_Shore
cg23034362,1,3200586,0.194734320045,0.868632671845,6.42279195786,-10.5538663864,-1.29670035839,PRDM16,N_Shelf
cg01520454,1,2304375,0.195474952459,0.868632671845,4.26748895645,-6.20922327042,-1.29455161095,MORN1,Island
cg15833286,1,1873499,0.195615231991,0.868632671845,5.60682630539,-10.9751300812,-1.29414534569,,N_Shore
cg15465501,1,2403699,0.197343379259,0.868632671845,0.31776368618,-2.23529338837,-1.28915739059,,
cg04716261,1,2937999,0.198331564665,0.868632671845,-2.99208974838,4.51067066193,1.28631949425,ACTRT2,N_Shore
cg00359465,1,2004346,0.198546439409,0.868632671845,-6.64386177063,7.86529684067,1.28570377827,PRKCZ,N_Shore
cg08231710,1,1566687,0.201607257128,0.868632671845,-1.33326053619,2.12778234482,1.2769857645,MMP23B;MMP23A,Island
cg13865934,1,2262474,0.202587231994,0.868632671845,-3.40222859383,4.81076669693,1.27421498299,MORN1,N_Shelf
cg18123385,1,2938122,0.20319442451,0.868632671845,8.55175971985,-11.9016618729,-1.27250313759,ACTRT2,N_Shore
cg13306335,1,2345376,0.204656600952,0.868632671845,-9.06709289551,11.8838920593,1.26839590073,PEX10,N_Shore
cg23037871,1,1936711,0.204887881875,0.868632671845,-1.16733777523,2.1659040451,1.26774823666,KIAA1751,S_Shore
cg13183298,1,2376119,0.206492334604,0.868632671845,-8.1579208374,10.0398378372,1.26326954365,,S_Shore
cg25390413,1,2390701,0.206691741943,0.868632671845,6.2480006218,-8.42034244537,-1.2627146244,,S_Shelf
cg12593511,1,3276753,0.20782583952,0.868632671845,4.78024339676,-6.8550157547,-1.25956630707,PRDM16,S_Shore
cg09315878,1,1152580,0.210370287299,0.868632671845,-4.66578722,6.10427379608,1.25254786015,SDF4,Island
cg01242872,1,2772127,0.211100459099,0.868632671845,0.714229762554,-2.01830863953,-1.25054514408,,Island
cg16902087,1,2220497,0.211391404271,0.868632671845,1.74444425106,-3.6965546608,-1.24974858761,SKI,N_Shore
cg03058163,1,1153338,0.212974235415,0.868632671845,3.85934257507,-4.90759658813,-1.24542868137,SDF4,N_Shore
cg06964353,1,1683176,0.21309825778,0.868632671845,-2.08278512955,3.15422654152,1.24509108067,NADK,N_Shelf
cg05117823,1,3056152,0.214159458876,0.868632671845,1.67588841915,-6.41853189468,-1.24220895767,PRDM16,N_Shore
cg04134748,1,3052175,0.215275138617,0.868632671845,-5.40594387054,7.03122091293,1.23918998241,PRDM16,
cg02058628,1,2164542,0.215356916189,0.868632671845,0.836928009987,-2.66940903664,-1.23896920681,SKI,S_Shelf
cg25201541,1,1444416,0.215730592608,0.868632671845,-0.815976202488,1.76702928543,1.23796081543,,N_Shore
cg04493316,1,2999196,0.2159255445,0.868632671845,2.08709454536,-9.26897335052,-1.23743522167,PRDM16,N_Shore
cg09180820,1,2113911,0.217162206769,0.868632671845,3.46127843857,-6.34343528748,-1.23410916328,PRKCZ,N_Shelf
cg17435683,1,3230609,0.217374488711,0.868632671845,-2.39380979538,2.97740006447,1.23353970051,PRDM16,
cg24842354,1,2004057,0.217837274075,0.868632671845,3.42187380791,-6.5038766861,-1.23229932785,PRKCZ,N_Shore
cg11946378,1,1920339,0.219558298588,0.868632671845,-9.71008872986,12.4056053162,1.22770345211,KIAA1751,
cg25101405,1,1398028,0.219893157482,0.868632671845,1.77247214317,-5.96901416779,-1.22681224346,ATAD3C,S_Shore
cg17267508,1,1187974,0.224407359958,0.877915966704,-3.47650837898,6.76625537872,1.21489179134,,N_Shore
cg03136646,1,1567257,0.226200982928,0.877915966704,-0.856220006943,1.34752559662,1.21020305157,MMP23B;MMP23A,Island
cg17421241,1,3201953,0.22962385416,0.877915966704,2.1138420105,-5.50005674362,-1.2013283968,PRDM16,N_Shore
cg17974515,1,2252516,0.22997367382,0.877915966704,-5.7042760849,7.34830999374,1.20042669773,,N_Shore
cg11229415,1,2407652,0.232160329819,0.877915966704,7.5419626236,-14.0774612427,-1.19481241703,PLCH2,N_Shelf
cg11856308,1,1449956,0.232916072011,0.877915966704,4.33849096298,-6.21341371536,-1.1928807497,ATAD3A,S_Shore
cg02144516,1,1311909,0.23340010643,0.877915966704,-5.3781785965,8.15648365021,1.19164597988,AURKAIP1,S_Shore
cg15492552,1,1297576,0.233657330275,0.877915966704,2.42551088333,-3.61799788475,-1.190990448,,
cg09172260,1,1536101,0.234690606594,0.877915966704,-2.41625547409,4.76354980469,1.18836259842,,Island
cg24439334,1,2345374,0.234984502196,0.877915966704,5.38582086563,-7.90855121613,-1.18761658669,PEX10,N_Shore
cg17429686,1,2571229,0.23591080308,0.877915966704,1.98726129532,-8.80002117157,-1.18526983261,,N_Shelf
cg11854493,1,2429996,0.236558049917,0.877915966704,-2.56191253662,2.96593022346,1.18363380432,PLCH2,N_Shelf
cg20929733,1,1572082,0.23837980628,0.877915966704,-6.83043861389,8.27396774292,1.17904615402,CDK11B,S_Shore
cg06912282,1,1563001,0.238712057471,0.877915966704,-7.97358083725,9.95626735687,1.17821216583,MIB2,N_Shore
cg00580652,1,1951356,0.238828524947,0.877915966704,8.65442752838,-10.9522447586,-1.17791998386,GABRD,Island
cg21422400,1,1747243,0.24066016078,0.880572201195,1.08999550343,-2.27211356163,-1.17333829403,GNB1,
cg23273418,1,3042459,0.242601931095,0.883605198576,0.823227226734,-2.17429184914,-1.16850793362,PRDM16,
cg08884752,1,2162001,0.245591774583,0.885597238051,-2.16178750992,2.83035159111,1.16112327576,SKI,S_Shore
cg16048006,1,2065263,0.247677713633,0.885597238051,1.29486131668,-4.07418060303,-1.15600836277,PRKCZ,N_Shore
cg02481000,1,2082349,0.24825938046,0.885597238051,-11.2178668976,14.7812290192,1.15458750725,PRKCZ,Island
cg15564619,1,2163437,0.249147310853,0.885597238051,-5.45190858841,6.93331718445,1.15242290497,SKI,S_Shelf
cg13420413,1,2347015,0.249657928944,0.885597238051,-3.26360249519,11.8573904037,1.15118062496,,S_Shore
cg26153353,1,3120516,0.249841034412,0.885597238051,0.768693864346,-1.30805623531,-1.15073561668,PRDM16,
cg03296283,1,2928403,0.252210140228,0.885956667068,-1.94806027412,5.9798617363,1.14499759674,,N_Shore
cg12441214,1,3200470,0.252884089947,0.885956667068,-1.36797618866,2.74868249893,1.14337217808,PRDM16,N_Shelf
cg12804677,1,3055958,0.253289878368,0.885956667068,-3.47270417213,4.68911647797,1.14239501953,PRDM16,N_Shore
cg22962923,1,1839959,0.257954567671,0.895590828496,6.66675853729,-8.83460998535,-1.13123881817,,Island
cg01490733,1,2247066,0.258300125599,0.895590828496,2.17660522461,-4.36545944214,-1.13041806221,,Island
cg02279987,1,1181757,0.262036681175,0.898094530544,-3.31521320343,4.56846857071,1.12159025669,FAM132A,Island
cg21285056,1,2407718,0.262911021709,0.898094530544,-6.79623842239,10.2753925323,1.11953723431,PLCH2,N_Shelf
cg13102889,1,2463136,0.263175457716,0.898094530544,10.4227828979,-14.7578639984,-1.11891722679,HES5,S_Shore
cg27187555,1,3269252,0.264496475458,0.898094530544,6.18857860565,-8.85948848724,-1.11582636833,PRDM16,
cg23738443,1,2269871,0.264677733183,0.898094530544,-8.17424297333,10.1951122284,1.11540305614,MORN1,S_Shelf
cg19098932,1,2345152,0.270415723324,0.902181481729,0.343799591064,-1.57847559452,-1.10210561752,PEX10,N_Shore
cg23932261,1,2876546,0.271373212337,0.902181481729,-4.03950738907,5.61673784256,1.09990572929,,Island
cg19911801,1,2435632,0.271444231272,0.902181481729,-1.8250619173,2.52415513992,1.0997427702,PLCH2,Island
cg19862782,1,1153924,0.271862745285,0.902181481729,-3.79290485382,4.72327423096,1.098782897,SDF4,Island
