ID	CD4+	CD8+	mono	Bcells	NK	Nue	Eos
cg13178361	0.88864	0.89712	0.70669	0.88653	0.87044	0.15729	0.12536
cg02834765	0.20236	0.33852	0.079983	0.099288	0.22266	0.091655	0.088938
cg13781869	0.84807	0.91229	0.25371	0.88755	0.90345	0.8995	0.90472
cg04119678	0.087067	0.081386	0.12575	0.09381	0.09781	0.22223	0.14872
cg00219921	0.84441	0.21809	0.90813	0.92695	0.76127	0.90509	0.92007
cg25939861	0.83516	0.13984	0.86526	0.86352	0.57612	0.87783	0.89429
cg04329870	0.84801	0.30359	0.85697	0.84296	0.71518	0.85368	0.86437
cg03318654	0.75194	0.26676	0.72531	0.73277	0.64163	0.73882	0.74001
cg11335172	0.91465	0.6984	0.94026	0.94006	0.3364	0.92092	0.91377
cg08777095	0.57428	0.19835	0.92643	0.92111	0.67954	0.93151	0.93926
cg09391405	0.18876	0.17147	0.56718	0.2554	0.34444	0.10429	0.061101
cg20657709	0.90313	0.59769	0.90728	0.90926	0.25671	0.89411	0.90447
cg20954219	0.68812	0.70618	0.14018	0.55777	0.60431	0.63193	0.65965
cg03887528	0.2731	0.30292	0.55073	0.1727	0.21165	0.38976	0.51173
cg03054026	0.58442	0.38539	0.34816	0.20069	0.2605	0.353	0.33975
cg00705730	0.91311	0.90748	0.84954	0.92474	0.92444	0.12062	0.063012
cg16421411	0.79522	0.94815	0.96923	0.97484	0.96493	0.9729	0.97842
cg27051683	0.21277	0.17943	0.51494	0.41765	0.44699	0.80358	0.8976
cg25428740	0.20624	0.090993	0.0528	0.10332	0.056725	0.067769	0.085029
cg24336674	0.43205	0.64302	0.8867	0.78059	0.68504	0.86606	0.85713
cg25887844	0.17031	0.34464	0.13968	0.33067	0.5974	0.068861	0.04373
cg15724534	0.93107	0.92993	0.86219	0.93423	0.9263	0.19328	0.075049
cg03429643	0.063184	0.051798	0.064845	0.71414	0.06907	0.048692	0.041318
cg17675712	0.86291	0.83595	0.90969	0.88911	0.66881	0.89371	0.87512
cg00760938	0.89747	0.86995	0.87882	0.10337	0.84082	0.8818	0.89881
cg13112407	0.089476	0.040677	0.3841	0.15344	0.079602	0.31157	0.38595
cg02606840	0.066882	0.038437	0.18555	0.75346	0.081001	0.036407	0.028893
cg03055671	0.085682	0.17944	0.36483	0.28276	0.1515	0.59542	0.51554
cg26102819	0.70721	0.49364	0.7176	0.63056	0.21042	0.73125	0.7358
cg01044025	0.28113	0.33821	0.4072	0.72178	0.18233	0.16649	0.072819
cg19235307	0.2052	0.58671	0.55442	0.71006	0.62965	0.46935	0.37596
cg26692003	0.95855	0.94954	0.93408	0.2133	0.91735	0.94869	0.9721
cg14475875	0.603	0.35504	0.071947	0.3011	0.26884	0.084604	0.058468
cg11589536	0.82411	0.90437	0.26796	0.87412	0.78421	0.65939	0.5671
cg01152567	0.81988	0.56671	0.71757	0.89615	0.26243	0.83015	0.78767
cg09626867	0.47857	0.6005	0.1198	0.30028	0.40529	0.15344	0.051648
cg25599673	0.34367	0.66015	0.90408	0.88525	0.91072	0.9272	0.92832
cg11014468	0.91375	0.91495	0.86127	0.91844	0.91194	0.17028	0.080679
cg01327169	0.81315	0.81306	0.72163	0.81981	0.81824	0.18091	0.10852
cg19915997	0.86597	0.77086	0.87726	0.84878	0.46048	0.87073	0.87226
cg05480110	0.96274	0.94631	0.94156	0.26654	0.91623	0.95051	0.97437
cg02391509	0.27556	0.62006	0.19355	0.22521	0.72057	0.20547	0.18946
cg01458495	0.4228	0.6667	0.87646	0.88245	0.83978	0.86319	0.87529
cg24720038	0.15143	0.11541	0.24024	0.17049	0.12149	0.33386	0.40561
cg00183468	0.82542	0.80833	0.77765	0.12255	0.69583	0.66846	0.21231
cg08162476	0.87445	0.86822	0.72215	0.12551	0.82322	0.84986	0.8854
cg05980782	0.48109	0.64011	0.19249	0.23245	0.48394	0.20388	0.17098
cg01832712	0.22656	0.21118	0.073619	0.49056	0.11084	0.063427	0.050913
cg09025210	0.55928	0.33216	0.8224	0.73376	0.46519	0.78486	0.80495
cg27628849	0.80112	0.61217	0.7799	0.89638	0.37502	0.66314	0.53821
cg27027375	0.85019	0.82535	0.73085	0.79867	0.82209	0.45405	0.65867
cg09363243	0.87975	0.73554	0.91815	0.90192	0.43415	0.90688	0.87566
cg14140379	0.86238	0.84936	0.76247	0.85927	0.84793	0.40393	0.6912
cg05039671	0.75739	0.51663	0.84675	0.88413	0.71729	0.74844	0.66736
cg21997986	0.87342	0.83366	0.867	0.17735	0.84637	0.86998	0.77954
cg17854066	0.1414	0.16178	0.057226	0.428	0.10186	0.059612	0.050751
cg22535163	0.72546	0.87965	0.95845	0.95363	0.90947	0.93884	0.94073
cg11394785	0.39899	0.2673	0.096888	0.19652	0.2106	0.1295	0.080309
cg11664417	0.89156	0.8847	0.32417	0.82873	0.85879	0.91375	0.92205
cg11314827	0.45954	0.60812	0.81427	0.83234	0.70176	0.83431	0.86767
cg10967114	0.91375	0.94527	0.47034	0.93732	0.91521	0.89185	0.80654
cg00851088	0.27195	0.46936	0.076722	0.12892	0.28136	0.082411	0.070093
cg05593759	0.87712	0.71807	0.90039	0.77603	0.43705	0.88962	0.87197
cg10487428	0.8785	0.87026	0.74248	0.8907	0.83767	0.2032	0.30017
cg26050975	0.14082	0.2818	0.059256	0.2161	0.39039	0.092008	0.066518
cg10949007	0.053758	0.058554	0.040773	0.33787	0.053179	0.064975	0.042612
cg14564351	0.70049	0.33624	0.07378	0.17289	0.19856	0.090525	0.046037
cg18773597	0.25768	0.31435	0.29596	0.18133	0.43715	0.66554	0.66032
cg06003184	0.46217	0.48348	0.4	0.78848	0.54607	0.43771	0.1461
cg00702872	0.74799	0.46501	0.85894	0.87511	0.63746	0.86774	0.86153
cg12531611	0.89999	0.60158	0.90344	0.90796	0.28895	0.90678	0.90182
cg18800739	0.82515	0.58534	0.83729	0.78627	0.35112	0.83848	0.83718
cg03783907	0.08366	0.077682	0.13721	0.22797	0.11046	0.41644	0.53379
cg02832512	0.84781	0.79561	0.74458	0.85515	0.77982	0.20857	0.11265
cg23143090	0.68236	0.67328	0.20815	0.66296	0.60842	0.65398	0.7054
cg21555177	0.23191	0.14557	0.26931	0.20795	0.2239	0.26334	0.26027
cg05517541	0.082517	0.040889	0.22097	0.56711	0.064933	0.23427	0.35772
cg11034626	0.58828	0.66887	0.30507	0.44002	0.51887	0.31259	0.2671
cg06963205	0.83539	0.81147	0.77371	0.095528	0.8013	0.8574	0.8528
cg19556284	0.81143	0.65292	0.88599	0.8623	0.46766	0.88286	0.88719
cg23280720	0.11664	0.074502	0.58715	0.2098	0.23183	0.80463	0.84202
cg20387139	0.26822	0.41682	0.047208	0.056667	0.26599	0.055934	0.042709
cg08352774	0.17944	0.083825	0.083439	0.38811	0.075045	0.088611	0.05693
cg12104246	0.61825	0.34745	0.77596	0.67566	0.46155	0.7337	0.62011
cg20510988	0.74663	0.73786	0.80102	0.085272	0.74617	0.79251	0.76488
cg18067520	0.90188	0.91165	0.76926	0.077192	0.85534	0.8145	0.68964
cg21761853	0.13512	0.091475	0.17006	0.17154	0.097652	0.49973	0.35397
cg16474725	0.049383	0.044209	0.10517	0.10036	0.051943	0.18825	0.18976
cg17622855	0.87053	0.87893	0.87233	0.1843	0.87592	0.88241	0.87423
cg00733978	0.76946	0.75732	0.15716	0.79131	0.66846	0.70547	0.37225
cg18782488	0.69847	0.26451	0.89048	0.52426	0.56063	0.8947	0.89924
cg18720736	0.86754	0.58583	0.8715	0.87155	0.83821	0.8534	0.85194
cg09654116	0.88348	0.42306	0.8893	0.88597	0.7301	0.89587	0.89563
cg20641531	0.91068	0.93101	0.18661	0.91587	0.9009	0.71734	0.89222
cg20332503	0.81976	0.85574	0.39575	0.85008	0.83477	0.70932	0.77209
cg00944599	0.47233	0.75207	0.89916	0.85739	0.80329	0.88748	0.84136
cg00661777	0.31831	0.14463	0.090613	0.052831	0.063331	0.72413	0.81336
cg00459992	0.46766	0.70673	0.91813	0.93015	0.85752	0.91355	0.93864
cg21762695	0.7862	0.74107	0.60488	0.73882	0.71319	0.1051	0.037336
cg16396223	0.86755	0.82403	0.86956	0.19057	0.815	0.87893	0.87551
cg04153882	0.96577	0.94827	0.92575	0.12453	0.90853	0.92567	0.84074
cg22581896	0.50261	0.74781	0.87914	0.86656	0.73206	0.81831	0.69183
cg27109748	0.69583	0.60329	0.62886	0.61474	0.66605	0.91211	0.9285
cg13459035	0.85559	0.74372	0.81227	0.85361	0.60842	0.79183	0.74859
cg00576774	0.12268	0.24344	0.036578	0.087278	0.14465	0.045808	0.036681
cg02171859	0.81764	0.68668	0.56874	0.60799	0.62842	0.58311	0.57266
cg06449934	0.73253	0.7857	0.2835	0.78766	0.70771	0.62944	0.46491
cg01974478	0.55466	0.84276	0.95703	0.94069	0.88108	0.94672	0.95801
cg12419766	0.60788	0.88801	0.96017	0.96988	0.93662	0.96082	0.97091
cg16008979	0.31599	0.41271	0.10246	0.19038	0.26071	0.11152	0.18745
cg19513582	0.87097	0.79867	0.83552	0.8988	0.79026	0.20155	0.074343
cg14826425	0.062771	0.13088	0.044814	0.24385	0.093666	0.040005	0.034201
cg21329649	0.87914	0.85589	0.8781	0.38125	0.85604	0.87844	0.89419
cg12155963	0.078422	0.089283	0.058466	0.36954	0.14314	0.11218	0.246
cg04025970	0.23923	0.55169	0.74214	0.5762	0.73655	0.6634	0.30611
cg07457727	0.86534	0.90766	0.27536	0.7798	0.8517	0.87766	0.89498
cg25011252	0.39804	0.61211	0.81813	0.8231	0.80681	0.82209	0.82802
cg23146741	0.79997	0.81987	0.12554	0.71582	0.71297	0.84276	0.88809
cg20511966	0.89556	0.88612	0.80292	0.89286	0.8912	0.50261	0.75801
cg08095204	0.3697	0.43125	0.20607	0.21742	0.29058	0.20722	0.19757
cg12991306	0.52474	0.41775	0.15237	0.079446	0.2828	0.78915	0.71344
cg04227278	0.52809	0.29996	0.83687	0.61035	0.56096	0.76689	0.73393
cg18048309	0.84382	0.76794	0.84215	0.29982	0.77775	0.87075	0.88183
cg01419713	0.49534	0.71126	0.89816	0.81346	0.85229	0.90438	0.9208
cg06889975	0.92118	0.89722	0.88641	0.12417	0.88804	0.87624	0.86565
cg00328720	0.85807	0.8981	0.42644	0.89192	0.83062	0.86911	0.83621
cg18787975	0.32266	0.14441	0.090721	0.1291	0.13211	0.10218	0.095888
cg27190014	0.32235	0.6239	0.74365	0.83265	0.69007	0.61255	0.27705
cg21285555	0.88798	0.87534	0.76193	0.86705	0.82469	0.12149	0.062639
cg10147394	0.85302	0.81327	0.88092	0.11544	0.81524	0.88463	0.87364
cg11402303	0.78099	0.77387	0.66984	0.77297	0.76561	0.38904	0.51883
cg27443224	0.74074	0.73095	0.2571	0.59927	0.66947	0.76331	0.78432
cg26270899	0.27703	0.15768	0.4261	0.24217	0.16975	0.27797	0.36128
cg13595556	0.90303	0.89382	0.6779	0.93116	0.8599	0.13225	0.052679
cg14344261	0.011569	0.01958	0.015643	0.38451	0.019829	0.012975	0.017262
cg00460983	0.81657	0.86633	0.15283	0.75745	0.75267	0.60193	0.64164
cg05617307	0.34841	0.8062	0.93879	0.93469	0.92617	0.91569	0.92328
cg14301562	0.86198	0.55811	0.86395	0.86479	0.23023	0.82757	0.83135
cg08698943	0.3224	0.3721	0.141	0.82935	0.31738	0.44015	0.53343
cg08908131	0.80544	0.79766	0.16205	0.84168	0.7208	0.86818	0.87926
cg07754940	0.25364	0.23734	0.30105	0.33354	0.23829	0.71816	0.79704
cg09221159	0.12101	0.078564	0.47451	0.14881	0.13184	0.70635	0.74626
cg10462187	0.66487	0.66347	0.69797	0.088382	0.63614	0.69521	0.69081
cg07133930	0.58095	0.78721	0.078037	0.22819	0.55903	0.10281	0.054889
cg05623815	0.85464	0.80572	0.83616	0.21475	0.78208	0.84083	0.83303
cg03970483	0.56162	0.70417	0.82192	0.77557	0.80399	0.82251	0.81306
cg23786209	0.13901	0.16244	0.42642	0.15883	0.20615	0.53307	0.48122
cg16694639	0.38821	0.61823	0.59937	0.66699	0.6348	0.58066	0.55658
cg18184053	0.88824	0.80739	0.8497	0.068255	0.74307	0.84687	0.84908
cg04468741	0.8412	0.90103	0.18972	0.91705	0.84335	0.8411	0.67372
cg15225779	0.78621	0.57227	0.77433	0.77442	0.31431	0.74193	0.74971
cg26902557	0.40598	0.51627	0.1333	0.14332	0.32145	0.14933	0.1332
cg05747695	0.32871	0.12874	0.11048	0.12291	0.10485	0.12387	0.11351
cg16636767	0.89506	0.93455	0.20831	0.90085	0.88653	0.92375	0.91427
cg01476222	0.85134	0.79174	0.17859	0.69774	0.65735	0.90514	0.92192
cg03559915	0.40646	0.17818	0.78995	0.45517	0.36646	0.75183	0.77553
cg03219657	0.35789	0.18487	0.057964	0.18129	0.076719	0.07576	0.056254
cg14331899	0.96578	0.9534	0.89657	0.19322	0.93771	0.93904	0.93177
cg17232476	0.9042	0.88667	0.86521	0.099049	0.89046	0.92317	0.91611
cg06975311	0.18092	0.11706	0.31875	0.080605	0.14106	0.22925	0.34655
cg26986871	0.58525	0.080284	0.0666	0.18268	0.079677	0.075269	0.05753
cg14200211	0.89219	0.65986	0.92268	0.92932	0.33968	0.93039	0.92621
cg13828440	0.86213	0.65603	0.86999	0.73586	0.25547	0.869	0.87672
cg21474838	0.81747	0.56777	0.92394	0.91885	0.25418	0.91156	0.91998
cg24410690	0.93845	0.89982	0.92149	0.93419	0.60213	0.9176	0.93566
cg27366072	0.87788	0.90133	0.18597	0.79538	0.84068	0.73241	0.69916
cg21125628	0.82178	0.70684	0.90192	0.86272	0.38791	0.90231	0.91706
cg09082441	0.20791	0.33829	0.057541	0.061907	0.18993	0.06795	0.058067
cg16470760	0.58803	0.79837	0.82023	0.84217	0.76036	0.81646	0.78818
cg14541209	0.36183	0.44033	0.079072	0.079433	0.23449	0.088774	0.075205
cg09043214	0.57442	0.14095	0.75873	0.8443	0.22991	0.69326	0.76856
cg03188000	0.078813	0.047871	0.16729	0.059986	0.065963	0.36894	0.30614
cg14094409	0.55009	0.11531	0.94758	0.91125	0.2866	0.89299	0.91181
cg22163059	0.60328	0.67326	0.26615	0.34125	0.52261	0.24404	0.2125
cg12976793	0.91915	0.90934	0.93194	0.15927	0.90767	0.92398	0.92491
cg14506192	0.54082	0.16503	0.89405	0.89602	0.27219	0.8805	0.92316
cg25083933	0.067527	0.16777	0.043806	0.090988	0.28978	0.038661	0.038807
cg08875297	0.86057	0.82116	0.84947	0.25723	0.82812	0.8186	0.76584
cg06761203	0.46328	0.3619	0.5313	0.45899	0.43614	0.50571	0.42736
cg14791799	0.89878	0.74512	0.90288	0.92835	0.3851	0.88785	0.86323
cg23391288	0.83415	0.90908	0.20878	0.84811	0.85152	0.92802	0.94449
cg06927812	0.82327	0.73262	0.82512	0.84749	0.70753	0.20037	0.1274
cg04103645	0.84883	0.81569	0.8431	0.15135	0.79617	0.84496	0.83453
cg16728323	0.84301	0.87877	0.42205	0.87624	0.83907	0.868	0.87964
cg27043010	0.024728	0.15352	0.025812	0.081997	0.37627	0.030378	0.021462
cg11070172	0.97793	0.94268	0.83925	0.96723	0.95314	0.2018	0.050511
cg07675477	0.15339	0.36316	0.22344	0.27208	0.63318	0.23513	0.2296
cg16235995	0.63995	0.2758	0.82758	0.84347	0.47606	0.82171	0.82799
cg21221767	0.080036	0.163	0.12096	0.047211	0.163	0.57892	0.57771
cg05398700	0.98499	0.98004	0.89384	0.97411	0.98375	0.10626	0.045396
cg14543285	0.84699	0.84908	0.78511	0.84778	0.83196	0.19903	0.12165
cg15691199	0.1226	0.25105	0.044282	0.049104	0.3752	0.053337	0.046013
cg18181923	0.50265	0.70425	0.85667	0.82143	0.85859	0.86189	0.88067
cg23108232	0.16407	0.28172	0.049837	0.63791	0.2	0.24662	0.46979
cg21057323	0.17355	0.16813	0.38364	0.26842	0.23189	0.68423	0.76364
cg25573640	0.86181	0.84438	0.79232	0.83359	0.8267	0.19198	0.11606
cg18247172	0.91348	0.6276	0.91544	0.94155	0.43323	0.86064	0.91638
cg10342963	0.96837	0.96607	0.93713	0.96239	0.9607	0.20766	0.020745
cg15022400	0.27935	0.24906	0.084167	0.36094	0.49325	0.12701	0.075148
cg03702533	0.81131	0.75251	0.7525	0.10497	0.68594	0.7646	0.74857
cg13856674	0.78275	0.79754	0.19435	0.73703	0.69431	0.61329	0.58021
cg27405128	0.83956	0.91247	0.26042	0.90662	0.83815	0.74939	0.64426
cg12483340	0.90581	0.90144	0.77504	0.90137	0.90308	0.11603	0.053886
cg00324520	0.76324	0.59521	0.87654	0.73415	0.61384	0.6719	0.47666
cg10083258	0.59489	0.81948	0.92565	0.91186	0.90174	0.8841	0.80517
cg24002003	0.28513	0.08381	0.12686	0.077458	0.076391	0.35316	0.25921
cg06575692	0.58547	0.26682	0.49765	0.83868	0.22829	0.43408	0.62014
cg27026192	0.77849	0.68901	0.7664	0.7849	0.36046	0.71413	0.66202
cg01453111	0.44251	0.093511	0.51511	0.50865	0.20749	0.50372	0.5252
cg04045544	0.85431	0.87376	0.22987	0.8678	0.83666	0.7811	0.39644
cg00084577	0.86282	0.8379	0.74134	0.83856	0.8485	0.20517	0.28117
cg09671611	0.64712	0.50234	0.36002	0.33034	0.28506	0.33348	0.28629
cg09300089	0.45169	0.21409	0.071106	0.81288	0.11858	0.063562	0.051308
cg02021288	0.67688	0.43699	0.85168	0.87576	0.65893	0.83187	0.85655
cg05249026	0.13352	0.16831	0.12532	0.13082	0.11516	0.25615	0.24385
cg05981394	0.39964	0.23295	0.063885	0.051227	0.12449	0.097424	0.052117
cg27507473	0.1263	0.1221	0.26651	0.17527	0.1129	0.48451	0.46629
cg10096215	0.11182	0.42767	0.098874	0.079132	0.63094	0.053359	0.038533
cg07450021	0.77345	0.7352	0.46988	0.79256	0.72034	0.81346	0.80841
cg08916477	0.42964	0.6887	0.74755	0.81445	0.75737	0.7274	0.71712
cg26600461	0.4276	0.66183	0.83114	0.72802	0.73512	0.80294	0.68807
cg03699843	0.1682	0.14917	0.11755	0.5809	0.14987	0.12925	0.11689
cg02192218	0.87205	0.73937	0.88429	0.75496	0.50428	0.88338	0.88025
cg03120102	0.80061	0.90734	0.9261	0.92196	0.92514	0.91026	0.91438
cg00867406	0.97619	0.95449	0.96986	0.24928	0.94767	0.97579	0.98351
cg07597976	0.87663	0.86897	0.81666	0.071112	0.79093	0.81483	0.81363
cg03963853	0.89633	0.97045	0.36175	0.97849	0.88182	0.95629	0.97898
cg06074534	0.85719	0.96516	0.96827	0.96707	0.96976	0.97123	0.97237
cg25554283	0.037355	0.22806	0.010683	0.018758	0.069462	0.015539	0.01038
cg22675702	0.80166	0.84953	0.1777	0.81082	0.79785	0.80238	0.79175
cg07823562	0.73524	0.82075	0.24443	0.87152	0.58593	0.78288	0.72585
cg16047279	0.047707	0.026858	0.35871	0.027268	0.036494	0.59941	0.62625
cg11133963	0.87759	0.62057	0.80973	0.88558	0.44911	0.87361	0.87655
cg07248223	0.053589	0.045038	0.35942	0.041606	0.06417	0.57743	0.51191
cg22312249	0.83166	0.89157	0.3364	0.85767	0.81791	0.71565	0.32114
cg23443627	0.69892	0.49411	0.60537	0.71881	0.26703	0.65465	0.63275
cg02212339	0.96378	0.94283	0.9543	0.15292	0.93556	0.96063	0.9636
cg17202724	0.093038	0.23893	0.091005	0.13914	0.3468	0.10501	0.1006
cg26133266	0.32624	0.46831	0.24697	0.27163	0.36573	0.2593	0.2395
cg03909504	0.49162	0.5852	0.33022	0.36035	0.469	0.32523	0.31637
cg01435401	0.12345	0.34853	0.056919	0.16401	0.24071	0.079388	0.060245
cg22498365	0.87193	0.88334	0.8994	0.1294	0.89164	0.90984	0.91835
cg25112590	0.85276	0.78651	0.80794	0.11498	0.75872	0.7039	0.52014
cg02366988	0.10961	0.24435	0.084333	0.10176	0.15732	0.094168	0.08807
cg02294870	0.85093	0.83575	0.86507	0.31323	0.82843	0.85263	0.86065
cg18207999	0.17165	0.062831	0.037309	0.033614	0.043175	0.039129	0.031821
cg00265360	0.25794	0.11075	0.097137	0.11731	0.098614	0.1117	0.10325
cg12182124	0.13144	0.067777	0.32111	0.14884	0.10342	0.23118	0.34765
cg12929678	0.24436	0.572	0.46481	0.58895	0.65389	0.73222	0.74057
cg13103051	0.85233	0.82801	0.81917	0.14551	0.82168	0.8706	0.87234
cg27106643	0.95124	0.94244	0.92151	0.12737	0.91987	0.95346	0.96091
cg15532942	0.88691	0.86015	0.9013	0.11948	0.84532	0.89197	0.90724
cg15260951	0.59737	0.88536	0.95904	0.82011	0.93168	0.96064	0.96173
cg16681873	0.5527	0.29756	0.77695	0.74973	0.60397	0.74968	0.77944
cg03722295	0.1647	0.15646	0.30453	0.32159	0.12844	0.74437	0.76658
cg21596498	0.94157	0.94155	0.92604	0.11681	0.9216	0.92218	0.92962
cg01454237	0.83143	0.65504	0.84708	0.80594	0.34403	0.84492	0.85431
cg27304729	0.15207	0.036368	0.50452	0.40559	0.17301	0.47397	0.48466
cg03538814	0.61281	0.61219	0.48224	0.47218	0.51869	0.76813	0.66916
cg02824980	0.25762	0.179	0.43323	0.4249	0.37312	0.44521	0.23356
cg21498471	0.19896	0.088351	0.34481	0.30983	0.17935	0.33811	0.31029
cg07584558	0.09061	0.083893	0.17609	0.086013	0.094564	0.14524	0.22361
cg26800832	0.6553	0.64968	0.16652	0.59959	0.63593	0.65537	0.68014
cg16531348	0.92035	0.89808	0.90065	0.42579	0.90308	0.918	0.9149
cg26574610	0.86778	0.82597	0.8357	0.20833	0.79588	0.79932	0.79046
cg02231062	0.80236	0.80673	0.80138	0.15719	0.77224	0.87198	0.86879
cg00813999	0.28185	0.67029	0.044706	0.023228	0.3276	0.05777	0.030747
cg14232368	0.30805	0.78196	0.81873	0.80895	0.80481	0.83968	0.82231
cg00292305	0.31952	0.82382	0.8023	0.84917	0.82198	0.80897	0.79321
cg24462702	0.13193	0.83768	0.87927	0.93251	0.81579	0.86469	0.8466
